Rausch_Signal_at_679.99nm_cut_at_1286.00Y_01.dat
24.01.2024
11:20:41
cut middle at Y: 1286.00
top cursor: 1345 down cursor: 1227 mean of: 118 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
594.663	104.856
594.791	105.025
594.919	103.695
595.047	104.458
595.175	105.169
595.303	104.992
595.431	104.864
595.560	103.958
595.688	104.839
595.816	104.941
595.944	104.797
596.072	104.839
596.200	104.847
596.328	104.695
596.456	104.169
596.585	104.322
596.713	104.415
596.841	104.890
596.969	104.000
597.097	104.839
597.225	104.161
597.353	104.500
597.481	104.534
597.610	104.763
597.738	105.102
597.866	104.153
597.994	104.992
598.122	105.153
598.250	103.983
598.378	105.407
598.506	104.822
598.635	105.169
598.763	104.585
598.891	104.381
599.019	104.288
599.147	103.424
599.275	103.576
599.403	104.475
599.531	104.644
599.660	103.280
599.788	104.992
599.916	104.915
600.044	104.347
600.172	105.398
600.300	103.805
600.428	104.475
600.556	104.271
600.685	103.653
600.813	103.331
600.941	105.059
601.069	103.678
601.197	104.466
601.325	103.958
601.453	104.237
601.581	104.568
601.710	104.331
601.838	104.822
601.966	105.280
602.094	104.008
602.222	104.203
602.350	104.212
602.478	104.322
602.606	104.525
602.735	105.042
602.863	104.144
602.991	104.525
603.119	104.542
603.247	104.669
603.375	104.508
603.503	103.568
603.631	104.280
603.760	104.839
603.888	104.678
604.016	103.983
604.144	104.127
604.272	104.907
604.400	104.246
604.528	104.678
604.656	105.525
604.785	104.381
604.913	104.822
605.041	104.805
605.169	104.492
605.297	103.992
605.425	104.127
605.553	104.627
605.681	104.729
605.810	104.076
605.938	105.203
606.066	104.780
606.194	104.525
606.322	104.585
606.450	104.661
606.578	104.576
606.706	104.195
606.835	104.669
606.963	104.229
607.091	104.771
607.219	104.373
607.347	104.780
607.475	104.085
607.603	104.949
607.731	104.373
607.860	105.110
607.988	103.661
608.116	104.932
608.244	104.695
608.372	104.669
608.500	104.822
608.628	103.898
608.756	104.805
608.885	104.331
609.013	104.017
609.141	104.085
609.269	104.653
609.397	104.644
609.525	104.941
609.653	104.246
609.781	104.720
609.910	104.661
610.038	104.254
610.166	104.288
610.294	105.144
610.422	104.424
610.550	104.568
610.678	103.856
610.806	104.551
610.935	104.551
611.063	104.432
611.191	104.102
611.319	103.992
611.447	104.780
611.575	104.000
611.703	104.754
611.831	104.517
611.960	104.203
612.088	104.381
612.216	104.839
612.344	104.729
612.472	104.364
612.600	103.907
612.728	104.576
612.856	103.898
612.985	104.229
613.113	104.025
613.241	104.729
613.369	105.093
613.497	103.890
613.625	104.449
613.753	103.797
613.881	104.271
614.010	104.958
614.138	104.458
614.266	104.958
614.394	103.881
614.522	104.178
614.650	103.983
614.778	104.788
614.906	104.712
615.035	105.441
615.163	104.949
615.291	103.898
615.419	104.873
615.547	104.466
615.675	103.568
615.803	103.822
615.931	104.441
616.060	104.280
616.188	103.695
616.316	104.288
616.444	104.356
616.572	103.780
616.700	105.254
616.828	104.669
616.956	103.212
617.085	104.102
617.213	104.644
617.341	104.263
617.469	104.356
617.597	104.695
617.725	103.856
617.853	103.966
617.981	104.331
618.110	103.483
618.238	103.703
618.366	104.008
618.494	104.559
618.622	104.797
618.750	104.839
618.878	105.008
619.006	103.703
619.135	104.763
619.263	104.898
619.391	104.127
619.519	104.458
619.647	104.280
619.775	104.805
619.903	104.314
620.031	103.975
620.160	103.941
620.288	105.280
620.416	103.839
620.544	103.610
620.672	104.576
620.800	104.288
620.928	104.619
621.056	104.280
621.185	104.297
621.313	103.924
621.441	105.008
621.569	104.627
621.697	104.958
621.825	104.254
621.953	104.763
622.081	104.644
622.210	104.653
622.338	103.831
622.466	104.619
622.594	104.746
622.722	104.881
622.850	104.407
622.978	104.492
623.106	104.610
623.235	104.627
623.363	104.593
623.491	104.458
623.619	104.627
623.747	104.678
623.875	104.229
624.003	104.475
624.131	104.305
624.260	104.331
624.388	104.636
624.516	105.398
624.644	104.381
624.772	104.508
624.900	104.847
625.028	103.941
625.156	104.534
625.285	104.576
625.413	104.280
625.541	105.280
625.669	104.610
625.797	105.025
625.925	104.949
626.053	104.949
626.181	104.746
626.310	104.424
626.438	104.449
626.566	105.271
626.694	104.831
626.822	104.593
626.950	104.186
627.078	104.610
627.206	104.661
627.335	103.983
627.463	104.305
627.591	105.186
627.719	104.619
627.847	104.949
627.975	103.881
628.103	105.169
628.231	104.500
628.360	105.085
628.488	105.500
628.616	104.873
628.744	104.695
628.872	105.432
629.000	104.856
629.128	104.576
629.256	105.110
629.385	104.661
629.513	104.381
629.641	104.661
629.769	104.797
629.897	104.364
630.025	105.297
630.153	104.805
630.281	104.441
630.410	103.788
630.538	104.161
630.666	104.161
630.794	104.305
630.922	104.237
631.050	104.415
631.178	104.458
631.306	105.178
631.435	104.280
631.563	104.347
631.691	104.076
631.819	104.000
631.947	104.703
632.075	104.720
632.203	105.136
632.331	105.042
632.460	104.508
632.588	103.839
632.716	104.017
632.844	104.525
632.972	105.025
633.100	104.297
633.228	104.992
633.356	104.517
633.485	103.932
633.613	105.068
633.741	104.602
633.869	104.720
633.997	104.610
634.125	104.958
634.253	105.136
634.381	104.475
634.510	104.576
634.638	104.644
634.766	103.703
634.894	104.907
635.022	104.644
635.150	105.093
635.278	105.076
635.406	104.407
635.535	104.449
635.663	104.576
635.791	103.805
635.919	104.898
636.047	104.492
636.175	104.280
636.303	105.288
636.431	105.178
636.560	104.398
636.688	104.771
636.816	104.492
636.944	104.356
637.072	105.483
637.200	104.907
637.328	104.127
637.456	104.958
637.585	104.924
637.713	104.966
637.841	104.237
637.969	105.271
638.097	104.881
638.225	104.551
638.353	103.814
638.481	104.059
638.610	104.034
638.738	103.008
638.866	104.788
638.994	104.576
639.122	104.831
639.250	104.525
639.378	105.025
639.506	104.042
639.635	104.331
639.763	104.822
639.891	105.017
640.019	105.441
640.147	104.915
640.275	104.610
640.403	104.661
640.531	104.864
640.660	103.822
640.788	104.831
640.916	104.788
641.044	104.873
641.172	104.212
641.300	104.780
641.428	104.500
641.556	103.398
641.685	104.169
641.813	104.890
641.941	104.746
642.069	103.788
642.197	104.347
642.325	104.119
642.453	104.593
642.581	104.085
642.710	103.949
642.838	104.492
642.966	104.864
643.094	104.390
643.222	104.559
643.350	104.441
643.478	104.746
643.606	104.381
643.735	103.441
643.863	104.966
643.991	105.280
644.119	103.890
644.247	104.797
644.375	104.373
644.503	105.153
644.631	105.000
644.760	104.797
644.888	104.644
645.016	104.263
645.144	105.144
645.272	104.873
645.400	104.195
645.528	104.644
645.656	103.483
645.785	105.703
645.913	104.653
646.041	104.619
646.169	104.432
646.297	104.466
646.425	105.441
646.553	105.246
646.681	104.822
646.810	104.492
646.938	104.161
647.066	103.898
647.194	104.271
647.322	104.576
647.450	104.398
647.578	104.941
647.706	104.542
647.835	104.797
647.963	104.915
648.091	103.797
648.219	103.966
648.347	104.373
648.475	104.136
648.603	104.322
648.731	104.492
648.860	104.864
648.988	104.093
649.116	104.661
649.244	103.729
649.372	104.381
649.500	104.110
649.628	104.271
649.756	104.678
649.885	105.034
650.013	104.424
650.141	103.636
650.269	104.907
650.397	104.712
650.525	104.229
650.653	104.890
650.781	104.381
650.910	104.712
651.038	104.466
651.166	104.517
651.294	105.153
651.422	104.449
651.550	104.720
651.678	103.415
651.806	104.203
651.935	104.153
652.063	105.008
652.191	104.373
652.319	104.178
652.447	104.534
652.575	104.644
652.703	103.534
652.831	104.110
652.960	104.220
653.088	104.568
653.216	103.881
653.344	104.669
653.472	104.415
653.600	104.517
653.728	103.788
653.856	104.449
653.985	104.229
654.113	104.924
654.241	105.288
654.369	104.703
654.497	105.000
654.625	104.229
654.753	104.398
654.881	104.237
655.010	104.347
655.138	103.178
655.266	104.059
655.394	104.068
655.522	104.331
655.650	104.220
655.778	104.466
655.906	104.534
656.035	104.831
656.163	104.534
656.291	104.195
656.419	104.322
656.547	104.508
656.675	104.720
656.803	104.610
656.931	104.720
657.060	104.805
657.188	104.195
657.316	104.686
657.444	104.983
657.572	104.110
657.700	104.881
657.828	104.712
657.956	104.008
658.085	104.729
658.213	104.915
658.341	103.678
658.469	104.551
658.597	104.466
658.725	105.034
658.853	104.500
658.981	103.932
659.110	104.763
659.238	104.941
659.366	104.051
659.494	104.297
659.622	104.703
659.750	103.890
659.878	104.576
660.006	104.898
660.135	105.008
660.263	104.246
660.391	104.034
660.519	104.737
660.647	104.008
660.775	104.271
660.903	103.966
661.031	103.593
661.160	104.576
661.288	104.136
661.416	104.500
661.544	103.737
661.672	104.195
661.800	104.347
661.928	104.432
662.056	104.890
662.185	104.203
662.313	104.237
662.441	103.847
662.569	104.356
662.697	104.542
662.825	103.983
662.953	104.136
663.081	104.034
663.210	103.212
663.338	104.627
663.466	104.576
663.594	104.093
663.722	103.119
663.850	104.186
663.978	104.593
664.106	105.000
664.235	104.458
664.363	104.110
664.491	103.407
664.619	104.746
664.747	103.788
664.875	104.025
665.003	104.280
665.131	104.271
665.260	104.669
665.388	104.051
665.516	104.017
665.644	104.390
665.772	104.254
665.900	104.381
666.028	104.627
666.156	104.254
666.285	103.763
666.413	104.288
666.541	104.356
666.669	104.246
666.797	104.907
666.925	103.720
667.053	104.432
667.181	104.881
667.310	104.034
667.438	104.593
667.566	104.339
667.694	104.017
667.822	104.280
667.950	104.678
668.078	104.475
668.206	103.636
668.335	103.636
668.463	104.814
668.591	104.814
668.719	103.898
668.847	103.508
668.975	104.508
669.103	103.898
669.231	104.025
669.360	103.771
669.488	104.585
669.616	103.729
669.744	103.822
669.872	103.941
670.000	105.068
670.128	104.602
670.256	104.263
670.385	104.449
670.513	105.102
670.641	104.034
670.769	104.161
670.897	104.356
671.025	104.424
671.153	104.229
671.281	104.025
671.410	103.763
671.538	104.449
671.666	103.958
671.794	104.737
671.922	104.051
672.050	104.034
672.178	103.746
672.306	104.483
672.435	104.754
672.563	104.780
672.691	104.458
672.819	104.593
672.947	104.737
673.075	104.797
673.203	104.610
673.331	104.814
673.460	104.551
673.588	104.102
673.716	104.483
673.844	103.475
673.972	104.703
674.100	104.602
674.228	104.390
674.356	104.508
674.485	104.237
674.613	104.203
674.741	103.941
674.869	103.958
674.997	104.271
675.125	105.076
675.253	103.958
675.381	104.364
675.510	104.576
675.638	104.263
675.766	105.102
675.894	103.686
676.022	103.542
676.150	104.915
676.278	105.000
676.406	104.686
676.535	103.551
676.663	103.619
676.791	103.542
676.919	103.847
677.047	103.975
677.175	104.534
677.303	104.136
677.431	105.297
677.560	103.686
677.688	104.534
677.816	103.610
677.944	104.322
678.072	104.119
678.200	104.492
678.328	103.847
678.456	104.924
678.585	104.093
678.713	103.636
678.841	104.508
678.969	103.398
679.097	104.992
679.225	103.856
679.353	104.331
679.481	104.051
679.610	104.653
679.738	104.636
679.866	104.398
679.994	104.203
680.122	103.873
680.250	104.525
680.378	103.695
680.506	104.212
680.635	104.551
680.763	104.695
680.891	104.483
681.019	104.746
681.147	104.008
681.275	104.602
681.403	104.407
681.531	103.932
681.660	103.941
681.788	104.636
681.916	104.008
682.044	103.941
682.172	103.610
682.300	104.585
682.428	104.746
682.556	104.568
682.685	104.407
682.813	103.407
682.941	102.907
683.069	103.695
683.197	103.551
683.325	104.076
683.453	104.864
683.581	104.102
683.710	104.763
683.838	104.237
683.966	103.822
684.094	104.246
684.222	103.839
684.350	104.051
684.478	103.686
684.606	104.025
