70-120-90_at_679.99nm_cut_at_1283.50Y_01.dat
24.01.2024
11:34:03
cut middle at Y: 1283.50
top cursor: 1343 down cursor: 1224 mean of: 119 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
581.466	766.723
581.594	761.479
581.722	761.933
581.850	767.992
581.978	765.655
582.106	774.714
582.235	772.697
582.363	767.403
582.491	777.227
582.619	773.218
582.747	784.605
582.875	784.487
583.003	793.370
583.131	784.731
583.260	790.202
583.388	797.244
583.516	793.992
583.644	795.118
583.772	798.748
583.900	808.613
584.028	805.109
584.156	805.118
584.285	811.992
584.413	808.714
584.541	814.017
584.669	820.202
584.797	821.966
584.925	819.782
585.053	823.487
585.181	828.076
585.310	828.899
585.438	833.992
585.566	833.681
585.694	841.689
585.822	838.143
585.950	843.538
586.078	851.731
586.206	844.597
586.335	853.050
586.463	855.454
586.591	860.319
586.719	849.496
586.847	864.067
586.975	856.210
587.103	862.353
587.231	861.429
587.360	869.008
587.488	871.277
587.616	875.076
587.744	879.345
587.872	868.857
588.000	877.487
588.128	883.034
588.256	881.202
588.385	881.605
588.513	885.403
588.641	884.647
588.769	893.395
588.897	887.471
589.025	883.958
589.153	888.941
589.281	885.672
589.410	893.294
589.538	893.345
589.666	902.185
589.794	898.597
589.922	899.706
590.050	911.697
590.178	904.076
590.306	897.529
590.435	906.933
590.563	901.143
590.691	907.403
590.819	910.261
590.947	920.345
591.075	910.706
591.203	911.765
591.331	918.849
591.460	921.328
591.588	910.252
591.716	915.992
591.844	913.681
591.972	930.966
592.100	926.773
592.228	927.050
592.356	936.277
592.485	923.529
592.613	930.613
592.741	942.143
592.869	936.227
592.997	947.504
593.125	943.109
593.253	948.008
593.381	950.151
593.510	951.437
593.638	952.992
593.766	952.387
593.894	964.269
594.022	943.303
594.150	958.891
594.278	975.261
594.406	962.134
594.535	963.588
594.663	966.336
594.791	964.403
594.919	965.261
595.047	981.168
595.175	983.361
595.303	974.840
595.431	973.899
595.560	990.244
595.688	983.118
595.816	977.639
595.944	998.546
596.072	995.824
596.200	1004.874
596.328	998.193
596.456	995.815
596.585	1011.336
596.713	1013.286
596.841	1009.353
596.969	1004.798
597.097	1015.134
597.225	1015.882
597.353	1028.622
597.481	1029.403
597.610	1034.521
597.738	1034.311
597.866	1029.126
597.994	1036.807
598.122	1054.235
598.250	1048.538
598.378	1046.630
598.506	1050.748
598.635	1047.277
598.763	1055.218
598.891	1052.487
599.019	1060.160
599.147	1055.084
599.275	1061.319
599.403	1062.563
599.531	1073.487
599.660	1070.294
599.788	1078.042
599.916	1078.840
600.044	1079.454
600.172	1083.303
600.300	1082.235
600.428	1081.454
600.556	1094.445
600.685	1102.739
600.813	1098.042
600.941	1105.773
601.069	1104.824
601.197	1111.765
601.325	1109.210
601.453	1116.353
601.581	1120.815
601.710	1123.328
601.838	1127.294
601.966	1133.462
602.094	1132.109
602.222	1137.168
602.350	1138.832
602.478	1145.571
602.606	1147.857
602.735	1147.597
602.863	1164.546
602.991	1157.807
603.119	1172.101
603.247	1176.866
603.375	1174.706
603.503	1176.580
603.631	1188.076
603.760	1188.899
603.888	1194.328
604.016	1204.462
604.144	1201.445
604.272	1197.487
604.400	1205.504
604.528	1204.958
604.656	1209.218
604.785	1216.588
604.913	1221.555
605.041	1231.689
605.169	1229.975
605.297	1234.613
605.425	1230.227
605.553	1254.563
605.681	1247.681
605.810	1248.739
605.938	1259.210
606.066	1249.059
606.194	1255.563
606.322	1262.975
606.450	1266.118
606.578	1269.462
606.706	1273.731
606.835	1274.689
606.963	1276.420
607.091	1278.471
607.219	1282.168
607.347	1277.538
607.475	1287.277
607.603	1299.462
607.731	1284.933
607.860	1288.714
607.988	1293.992
608.116	1295.513
608.244	1289.185
608.372	1293.496
608.500	1301.059
608.628	1304.941
608.756	1303.235
608.885	1307.084
609.013	1314.454
609.141	1307.227
609.269	1314.756
609.397	1318.168
609.525	1327.454
609.653	1320.185
609.781	1314.882
609.910	1318.588
610.038	1318.580
610.166	1330.025
610.294	1310.798
610.422	1341.866
610.550	1324.235
610.678	1320.866
610.806	1333.983
610.935	1331.185
611.063	1328.866
611.191	1336.227
611.319	1338.689
611.447	1337.832
611.575	1342.193
611.703	1332.832
611.831	1341.252
611.960	1339.588
612.088	1344.739
612.216	1352.689
612.344	1354.496
612.472	1333.613
612.600	1353.008
612.728	1346.042
612.856	1363.067
612.985	1354.118
613.113	1351.412
613.241	1360.151
613.369	1369.714
613.497	1364.992
613.625	1365.151
613.753	1364.874
613.881	1367.034
614.010	1369.916
614.138	1360.933
614.266	1360.866
614.394	1370.403
614.522	1380.504
614.650	1395.303
614.778	1374.361
614.906	1409.563
615.035	1378.748
615.163	1383.798
615.291	1395.891
615.419	1408.471
615.547	1398.672
615.675	1417.176
615.803	1406.555
615.931	1417.235
616.060	1418.008
616.188	1419.378
616.316	1418.706
616.444	1414.798
616.572	1431.328
616.700	1422.311
616.828	1442.235
616.956	1446.765
617.085	1461.218
617.213	1448.882
617.341	1440.588
617.469	1446.261
617.597	1464.244
617.725	1456.756
617.853	1462.647
617.981	1469.387
618.110	1470.933
618.238	1471.143
618.366	1491.613
618.494	1496.403
618.622	1493.319
618.750	1495.605
618.878	1498.496
619.006	1512.008
619.135	1515.277
619.263	1517.151
619.391	1511.328
619.519	1528.176
619.647	1530.840
619.775	1528.303
619.903	1537.261
620.031	1539.857
620.160	1545.420
620.288	1545.109
620.416	1565.462
620.544	1553.647
620.672	1563.277
620.800	1569.050
620.928	1580.244
621.056	1583.319
621.185	1583.630
621.313	1588.168
621.441	1609.160
621.569	1613.378
621.697	1608.303
621.825	1619.050
621.953	1617.034
622.081	1631.118
622.210	1618.782
622.338	1631.269
622.466	1621.773
622.594	1645.933
622.722	1642.731
622.850	1648.420
622.978	1656.017
623.106	1659.076
623.235	1663.370
623.363	1668.025
623.491	1669.336
623.619	1668.479
623.747	1684.050
623.875	1678.504
624.003	1666.462
624.131	1681.067
624.260	1670.748
624.388	1698.983
624.516	1715.782
624.644	1684.958
624.772	1691.210
624.900	1706.076
625.028	1694.151
625.156	1732.807
625.285	1710.798
625.413	1713.975
625.541	1723.286
625.669	1722.126
625.797	1722.739
625.925	1730.336
626.053	1714.445
626.181	1739.664
626.310	1736.462
626.438	1732.387
